# Omega_m h n_s S_8 logf_R0
1.968749999999999944e-01 6.286698408936174376e-01 9.665624999999999911e-01 9.031249999999999556e-01 -4.468750000000000000e+00
3.468750000000000444e-01 7.299873406128046804e-01 9.415624999999999689e-01 7.531250000000000444e-01 -5.968750000000000000e+00
4.218750000000000000e-01 6.801356669540004063e-01 9.790624999999999467e-01 8.281250000000000000e-01 -6.718750000000000000e+00
2.718749999999999778e-01 7.797419698281568001e-01 9.540624999999999245e-01 6.781249999999999778e-01 -5.218750000000000000e+00
2.343750000000000000e-01 6.541661836516263762e-01 9.478124999999999467e-01 7.156249999999999556e-01 -4.843750000000000000e+00
3.843750000000000222e-01 7.551483442672661806e-01 9.728124999999999689e-01 8.656249999999999778e-01 -6.343750000000000000e+00
3.093750000000000111e-01 6.045414589846697107e-01 9.603125000000000133e-01 7.906250000000000222e-01 -5.593750000000000000e+00
1.593749999999999889e-01 7.034012910320042167e-01 9.853125000000000355e-01 9.406249999999999334e-01 -4.093750000000000000e+00
1.640625000000000000e-01 6.501317660628863626e-01 9.751562499999999467e-01 8.140625000000000222e-01 -6.578125000000000000e+00
3.140625000000000222e-01 7.517708791112664990e-01 9.501562499999999245e-01 6.640625000000000000e-01 -5.078125000000000000e+00
3.890625000000000333e-01 6.017597408478913001e-01 9.876562500000000133e-01 8.890624999999999778e-01 -4.328125000000000000e+00
2.390625000000000111e-01 7.012186830383182468e-01 9.626562499999999911e-01 7.390624999999999556e-01 -5.828125000000000000e+00
2.765625000000000444e-01 6.262802019313836732e-01 9.439062499999999467e-01 7.765625000000000444e-01 -6.203125000000000000e+00
4.265625000000000666e-01 7.270939755799340487e-01 9.689062499999999689e-01 9.265624999999999556e-01 -4.703125000000000000e+00
3.515625000000000000e-01 6.767814057585769261e-01 9.564062500000000133e-01 7.015624999999999778e-01 -5.453125000000000000e+00
2.015625000000000056e-01 7.760820329234213721e-01 9.814062500000000355e-01 8.515625000000000000e-01 -6.953125000000000000e+00
2.203125000000000222e-01 6.132610994397026394e-01 9.532812499999999689e-01 9.453125000000000000e-01 -4.890625000000000000e+00
3.703125000000000444e-01 7.144164545857030202e-01 9.782812499999999911e-01 7.953124999999999778e-01 -6.390625000000000000e+00
4.453125000000000000e-01 6.645445415038362391e-01 9.407812499999999023e-01 8.703124999999999334e-01 -5.640625000000000000e+00
2.953124999999999778e-01 7.642083779034382074e-01 9.657812499999999245e-01 7.203125000000000222e-01 -4.140625000000000000e+00
2.578125000000000000e-01 6.888254251859290411e-01 9.845312499999999689e-01 6.828125000000000444e-01 -4.515625000000000000e+00
4.078125000000000222e-01 7.896319028294109810e-01 9.595312499999999467e-01 8.328124999999999556e-01 -6.015625000000000000e+00
3.328125000000000111e-01 6.391223559930948594e-01 9.720312500000000133e-01 7.578125000000000000e-01 -6.765625000000000000e+00
1.828124999999999889e-01 7.382577706493480552e-01 9.470312499999999911e-01 9.078124999999999112e-01 -5.265625000000000000e+00
1.734374999999999944e-01 6.440164404228434503e-01 9.798437500000000133e-01 6.921874999999999556e-01 -5.734375000000000000e+00
3.234375000000000444e-01 7.455491410119440276e-01 9.548437499999999911e-01 8.421874999999999778e-01 -4.234375000000000000e+00
3.984375000000000000e-01 6.957215614850499330e-01 9.673437499999999467e-01 7.671875000000000222e-01 -4.984375000000000000e+00
2.484375000000000056e-01 7.952569804761661088e-01 9.423437499999999245e-01 9.171875000000000444e-01 -6.484375000000000000e+00
2.859375000000000111e-01 6.702072547047516204e-01 9.610937499999999689e-01 8.796874999999999556e-01 -6.859375000000000000e+00
4.359375000000000888e-01 7.709234172514006778e-01 9.860937499999999911e-01 7.296875000000000444e-01 -5.359375000000000000e+00
3.609375000000000222e-01 6.204477056544247526e-01 9.485937499999999023e-01 8.046875000000000000e-01 -4.609375000000000000e+00
2.109375000000000000e-01 7.197704089158750707e-01 9.735937500000000355e-01 6.546874999999999778e-01 -6.109375000000000000e+00
1.921875000000000111e-01 6.819377239339285968e-01 9.517187499999999467e-01 7.484374999999999778e-01 -4.046875000000000000e+00
3.421875000000000333e-01 7.831818569082770187e-01 9.767187499999999689e-01 8.984375000000000000e-01 -5.546875000000000000e+00
4.171875000000000444e-01 6.331647165058996718e-01 9.642187500000000133e-01 6.734375000000000222e-01 -6.296875000000000000e+00
2.671875000000000222e-01 7.327423278258006212e-01 9.892187500000000355e-01 8.234375000000000444e-01 -4.796875000000000000e+00
2.296874999999999889e-01 6.070844225206053490e-01 9.704687499999999911e-01 8.609374999999999112e-01 -5.171875000000000000e+00
3.796875000000000666e-01 7.081859176213410878e-01 9.454687499999999689e-01 7.109375000000000000e-01 -6.671875000000000000e+00
3.046875000000000000e-01 6.577802655936761944e-01 9.829687499999999467e-01 9.359374999999999778e-01 -5.921875000000000000e+00
1.546875000000000056e-01 7.566458992736472267e-01 9.579687499999999245e-01 7.859374999999999556e-01 -4.421875000000000000e+00
